Data,Label Type,Model,Accuracy,Prompt Type,Model Size
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,12.5,scores_no_prompt,124
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-UL2,80.76923076923077,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,27.500000000000004,scores_no_prompt,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,5.0,scores_no_prompt,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,37.5,scores_no_prompt,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,22.5,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,2.5,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,55.00000000000001,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,35.0,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,53.333333333333336,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,12.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,25.0,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,2.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML,42.5,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,39.166666666666664,scores_no_prompt,2700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,55.833333333333336,scores_no_prompt,2700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,14.166666666666666,scores_no_prompt,2700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,37.5,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,30.0,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,41.66666666666667,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT,27.500000000000004,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT,0.0,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT,37.5,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT,22.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT,2.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT,42.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,15.0,scores_no_prompt,770
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,5.0,scores_no_prompt,770
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,62.5,scores_no_prompt,770
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT,17.5,scores_no_prompt,350
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT,5.0,scores_no_prompt,350
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT,52.5,scores_no_prompt,350
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,62.69230769230769,scores_no_prompt,6000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,BERT,73.46153846153847,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,25.0,scores_no_prompt,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,5.0,scores_no_prompt,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,57.49999999999999,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,37.5,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,34.166666666666664,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,34.166666666666664,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,66.53846153846153,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,32.5,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,34.166666666666664,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,33.33333333333333,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,BERT,38.333333333333336,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,BERT,12.5,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,BERT,39.166666666666664,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,22.5,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,0.0,scores_no_prompt,60
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,60.0,scores_no_prompt,60
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,55.38461538461539,scores_no_prompt,355
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,68.46153846153847,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,UL2,37.5,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,UL2,22.5,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,UL2,40.833333333333336,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,35.833333333333336,scores_no_prompt,774
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,44.166666666666664,scores_no_prompt,774
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,19.166666666666668,scores_no_prompt,774
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,67.6923076923077,scores_no_prompt,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,33.33333333333333,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,15.0,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,25.0,scores_no_prompt,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-UL2,35.0,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-UL2,21.666666666666668,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-UL2,30.0,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,56.53846153846154,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,82.3076923076923,scores_no_prompt,11000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,64.23076923076924,scores_no_prompt,6700
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,BERT,72.3076923076923,scores_no_prompt,335
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,57.30769230769231,scores_no_prompt,2700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,32.5,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,44.166666666666664,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,25.833333333333336,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,RoBERTa,37.5,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,RoBERTa,34.166666666666664,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,RoBERTa,28.333333333333332,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,33.33333333333333,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,62.5,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,12.5,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,42.30769230769231,scores_no_prompt,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,UL2,32.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,UL2,12.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,UL2,47.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,27.500000000000004,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,15.0,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,42.5,scores_no_prompt,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,RoBERTa,70.0,scores_no_prompt,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,27.500000000000004,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,10.0,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,52.5,scores_no_prompt,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,BERT,22.5,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,BERT,15.0,scores_no_prompt,110
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,BERT,50.0,scores_no_prompt,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,31.666666666666664,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,12.5,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,40.0,scores_no_prompt,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,30.0,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,7.5,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,42.5,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML (MAX),30.0,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML (MAX),0.0,scores_no_prompt,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML (MAX),40.0,scores_no_prompt,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,65.0,scores_no_prompt,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,34.166666666666664,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,11.666666666666666,scores_no_prompt,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,41.66666666666667,scores_no_prompt,220
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-UL2,12.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-UL2,7.5,scores_no_prompt,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-UL2,35.0,scores_no_prompt,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,56.666666666666664,scores,6700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,42.5,scores,6700
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,35.0,scores,6700
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,RoBERTa,37.69230769230769,scores,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,RoBERTa,59.166666666666664,scores,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,RoBERTa,52.5,scores,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,RoBERTa,41.66666666666667,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,7.5,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,7.5,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,7.5,scores,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),49.166666666666664,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),40.0,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),47.5,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,22.5,scores,60
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,22.5,scores,60
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,32.5,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,45.0,scores,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,25.833333333333336,scores,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,45.83333333333333,scores,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,46.666666666666664,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,41.66666666666667,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,45.83333333333333,scores,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,41.92307692307693,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,50.0,scores,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,36.666666666666664,scores,20000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,42.5,scores,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,30.384615384615383,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,48.333333333333336,scores,6000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,38.333333333333336,scores,6000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,45.0,scores,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,15.0,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,15.0,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,17.5,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,35.0,scores,355
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,35.0,scores,355
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,37.5,scores,355
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,45.0,scores,770
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,45.0,scores,770
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,40.0,scores,770
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-J,42.30769230769231,scores,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,40.0,scores,11000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,51.53846153846153,scores,60
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,35.38461538461539,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,37.5,scores,220
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,30.0,scores,220
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,40.0,scores,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,51.66666666666667,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,40.833333333333336,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,45.0,scores,30000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,36.92307692307693,scores,774
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,22.5,scores,220
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,25.0,scores,220
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,32.5,scores,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,45.0,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,33.33333333333333,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,40.0,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,31.666666666666664,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,21.666666666666668,scores,60
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,33.33333333333333,scores,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,2.5,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,2.5,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML,2.5,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT,50.0,scores,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT,45.83333333333333,scores,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT,47.5,scores,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,BERT,18.333333333333332,scores,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,BERT,8.333333333333332,scores,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,BERT,12.5,scores,110
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,22.5,scores,124
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,22.5,scores,124
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,22.5,scores,124
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,49.166666666666664,scores,1500
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,46.666666666666664,scores,1500
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,45.83333333333333,scores,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT,5.0,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT,5.0,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT,5.0,scores,125
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,32.5,scores,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,32.5,scores,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,28.333333333333332,scores,3000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,59.23076923076923,scores,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,34.61538461538461,scores,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,35.76923076923077,scores,1500
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,43.46153846153846,scores,770
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML,50.83333333333333,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML,46.666666666666664,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML,45.83333333333333,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,50.83333333333333,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,40.833333333333336,scores,30000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,42.5,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,RoBERTa,7.5,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,RoBERTa,7.5,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,RoBERTa,10.0,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Galactica,12.5,scores,6700
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Galactica,10.0,scores,6700
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Galactica,10.0,scores,6700
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-T5,67.6923076923077,scores,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,52.5,scores,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,45.0,scores,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,47.5,scores,11000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,GPT-2,41.92307692307693,scores,124
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,UL2,47.30769230769231,scores,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,39.61538461538461,scores,350
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Flan-T5,55.00000000000001,scores,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Flan-T5,54.166666666666664,scores,220
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Flan-T5,49.166666666666664,scores,220
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML,35.76923076923077,scores,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),37.69230769230769,scores,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Galactica,33.46153846153846,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,10.0,scores,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,12.5,scores,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,12.5,scores,20000
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT-IML (MAX),27.692307692307693,scores,30000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,T5,32.5,scores,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,T5,25.0,scores,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,T5,22.5,scores,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,OPT-IML (MAX),53.333333333333336,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,OPT-IML (MAX),45.83333333333333,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,OPT-IML (MAX),43.333333333333336,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML (MAX),2.5,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML (MAX),2.5,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,OPT-IML (MAX),2.5,scores,1300
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,T5,54.230769230769226,scores,60
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,BERT,15.0,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,BERT,12.5,scores,335
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,BERT,17.5,scores,335
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,54.166666666666664,scores,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,56.666666666666664,scores,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,53.333333333333336,scores,355
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,Galactica,50.0,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,Galactica,44.166666666666664,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,Galactica,45.0,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,T5,21.666666666666668,scores,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,T5,17.5,scores,11000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,T5,15.0,scores,11000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,12.5,scores,774
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,12.5,scores,774
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,15.0,scores,774
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-2,10.0,scores,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-2,10.0,scores,1500
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-2,10.0,scores,1500
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,OPT,33.84615384615385,scores,125
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,12.5,scores,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,10.0,scores,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,10.0,scores,2700
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,RoBERTa,2.5,scores,110
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,RoBERTa,2.5,scores,110
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,RoBERTa,2.5,scores,110
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-2,55.00000000000001,scores,124
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-2,55.00000000000001,scores,124
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-2,51.66666666666667,scores,124
Metaphors_and_Analogies_Pairs_Cardillo_set_test,metaphor,Flan-UL2,71.15384615384616,scores,20000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,GPT-J,12.5,scores,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,GPT-J,15.0,scores,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,GPT-J,10.0,scores,6000
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,Flan-T5,35.0,scores,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,Flan-T5,32.5,scores,3000
Metaphors_and_Analogies_Quadruples_Green_set_test,anomaly,Flan-T5,30.0,scores,3000
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,metaphor,GPT-J,49.166666666666664,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,literal,GPT-J,46.666666666666664,scores,1300
Metaphors_and_Analogies_Pairs_Jankowiac_set_test,anomaly,GPT-J,45.83333333333333,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,metaphor,OPT-IML,5.0,scores,1300
Metaphors_and_Analogies_Quadruples_Green_set_test,literal,OPT-IML,5.0,scores,1300
